id,review,label
1,모짜렐라바질파스타 정말 맛있게 먹었어요.. 입맛이 별로 없었는데 샐러드 먹자마자 살아나서 싹 비웠네요! 페퍼론치노가 매운 맛을 낸 것 같은데 느끼할 수 있는 크림을 조화롭게 잡아주었어요 혼자 여유롭게 파스타 즐기는 분들이 저말고도 여럿 있어서 좋았어요 조만간 또 들러서 로제파스타 먹으려구요,1
2,리뷰가 왜 좋은지 여실히 깨닫게 되는 맛이에요 정말 맛있습니다 스테이크가 너무 연하고 육즙이 좋아서 입에서 녹는줄 알았어요. 제가 라자냐 킬러인데 양이 많아서 원없이 먹었습니다. 특히! 아마트리치아나... 어쩜 이렇게 맛있을까요 깊은 토마토의 맛에 소스가 촉촉해서 동행이랑 서로 뺏어먹기 바빴어요. 다른 메뉴 먹어보러 재방문 의사 300프로 입니다,1
3,"추천 받아서 갔는데 너무너무너무 맛있어요ㅠㅠㅠ 바질 파스타랑 스테이크, 사진엔 없지만 라자냐도 먹었는데 진짜 너무 맛있어요 다른 곳이랑 다르게 리뷰이벤트로 음료가 아닌! 리코타 샐러드인가? 그런거 주시는데 스페셜함이 느껴져서 좋았어요 완전 강추!!",1
4,주말 점심에 예약없이 방문했어요. 1인 매장으로 조리 시 시간이 조금 걸리지만 메뉴가 다 맛있어요! 특히 트러프머쉬룸크림파스타는 트러플 향 확 나는게 좋더라구요. 로제파스타는 살짝 매콤해서 맛있었어요.,1
5,아이가 스테이크 먹고 싶다고 해서 왔어요. 부채살스테이크와 감자튀김 먹었는데 아이가 맛있다며 너무 잘 먹네요. 매장은 작지만 아늑하고 분위기가 좋아요. 직원분들도 친절해서 편하게 식사하기 좋은것 같아요.,1
6,점심 먹으려구 친구랑 왔어요 기숙사 살아서 봄동비빔밥 만들수가 없었는데 여기 팔더라구요!!!! 너무너무너무누무 맛있어요 다음에 또먹을거에요ㅠㅠ,1
7,순살 꽃게장 덮밥 맛 궁금해서 았는데 기대 이상으로 맛있어요!! 매장 플리도 좋아여 ㅋㅋㅋ 메뉴들 다양하구 맛있어요 입맛 없을 때도 오기 좋울 거 같아요,1
8,학교 근처라 갔는데 가볍게 한끼먹기 좋은 것 같아요,1
9,"이름부터 너무 귀여운 곳입니다
따끈한 밥 위에 달콤짭짤한 간장밥 한 숟갈 얹으니까 마음까지 포근해졌어요.
자극적이지 않은 맛이라 부담 없이 먹기 좋고 아기자기한 분위기 덕분에 기분까지 좋아지는 식당입니다. 행복은 역시 간장밥이구나하고 고개 끄덕이게 되는 곳이라 또 오고 싶어요",1
10,꾸준히 갑니다 맛있어요 직원분도 친절하십니다,1
11,웨지 감자튀김도 같이 나와서 먹기 좋아요~ 튀김옷이 두껍지 않고 바삭해서 생각나는 맛이에요!! 주말 저녁에는 사람이 꽤 많은 것 같아요..!,1
12,맛있어요 튀김 자체만으로 간이 맞고 바삭한 치킨과 감자튀김 조합이 좋아요 매콤한 골뱅이무침도 추천!! 가서 먹어도 포장해도 맛있어요,1
13,"치킨 반반과 골뱅이무침 시켰어요. 후라이드 바삭해서 맛있고, 양념은 쫀듯해서 맛있어요. 생맥주도 시원하고요. 앉아서 맥주한잔하기 편하고, 단체로 가서 먹을수 있는 자리도 넓어요. 알바생님은 너무 친절하고 좋아요",1
14,다른 치킨들이랑은 다르게 속이 부담없이 너무 맛있어요 포근포근한 감자도 최고,1
15,치킨은 역시 후라이드죠.. 튀김옷도 바삭하고 너무 맛있습니다! 같이 나오는 웨지감자도 존맛이에여,1
16,집밥이 생각나네요 무난한맛에 푸짐한양 이었어요. 백반이 먹고싶을때 다시갈듯!,1
17,청국장 주문. 계란말이와 스팸도 추가. 맛있게 먹었습니다. 밥먹으러 종종 가고있어요!!,1
18,돈까스 순두부백반!! 반찬리필도 잘해주시고 맛있습니다. 집밥느낌!! 강추~ 근처 기사식당보다 좋은거같아요.,1
19,집이랑 가깝고 포장주문 네이버로 할 수 있어서 좋아요,1
20,간단하게 점심 먹을 때 항상 이용합니다! 친절하시고 토스트도 맛있어요,1
21,달달한 소스와 양배추가 맛있어서 계속 가게 되는 곳! 한끼로도 너무 좋아요!,1
22,"스시구성이 너무 실하고 좋아요!
가라야케도 바삭하고 튀김이 두껍지않아 느끼하지않네요!! 우동도 뜨끈하니 스시랑 같이먹기 좋아요! 숙대앞에있어서 접근성도 좋습니다 강추!",1
23,"비주얼 짱 맛도 짱짱
고양이가 친절하고 사장님이 귀여워요",1
24,음식이 맛있고 사장님이 엄청 친절하세요!,1
25,"궁극의2인세트는 진짜 궁극기 그 자체
밥약하기도 너무 좋고 구성 대박 알차요",1
26,"휘낭시에가 다 너무 맛있었습니다! 솔티 초코랑 단호박 피칸이 정말 맛있었어요....
나중에도 포장하러 또 올게요. 친절하게 대해주셔서 감사합니다",1
27,빵이랑 쿠키들 다 평타 이상은 치는 맛,1
28,매콤소세지가 제 원픽인데 저번엔 핫소스를 이번엔 살사 소스를 곁들여서 먹었는데 살사 이거 아주 맛도리입니다.. 참고로 저는 피코크 핫 살사 먹엇습니다.,1
29,최고의 호스피탈리티.... 맛있고 저렴한데 속도도 엄청나고 클래식바에서나 경험할 수 있는 서비스 수준이에요. 진짜 좋은 식사였다,1
30,양많고 친절함. 음식도 맛있음. 점심땐 밥 조금 모자라면 그냥 더 주시는거 같음. 사장님들이 홀 지켜보다가 반찬모자라면 요청전에 챙겨주시는거 같음. 국을 따로주는게 좋음. 그게 개 큰 장점,1
31,분위기 좋은 곳에서 수제비와 해물파전 잘먹고 갑니다!!!,1
32,평일 저녁 웨이팅있었고 갈은 방식의 감자전이라 좋았네요. 치즈도 맛있었고 불판그대로 갖다주셔서 30분넘게 온도가 유지되어 좋았습니다.,1
33,소금빵 맛있어요 가볍고 적당히 짭짤하고 생각나요 포장보다 매장에서 먹는게 맛있어요 사람이 진짜 많아요 ,1
34,저녁먹고 좀 걷다가 커피 한 잔하러 들렀습니다. 초저녁 날씨가 좋아서 야외서 차마시니 기분이 좋았어요.,1
35,밀크티 정말 예술이에요! 따뜻한 것도 맛있고 차가운 것도 맛있어요! 스콘이랑 파운드도 맛있어서 디저트 카페로 정말 좋아요! 게다가 여자 알바분도 넘넘 친절하셔서 감동이었던 카페입니다!! 넘 감사해요! ,1
36,급하게 예약했는데도 잘 준비해주셔서 감사합니다!! 생긴것도 너무 예쁜데 생각보다도 훨씬 부드럽고 상큼한 맛있는 케이크라서 덕분에 즐거운 생파 했네요. 남은 것도 포장해주신것도 넘넘 감사합니다!!! 또 올게용!!!,1
37,여긴 모두가 맛봐야한다... 진짜 김밥처돌이로서 진짜 맛있고 밥 양념도 너무 맛있고 기본 김밥부터 그냥 다 맛있다 라볶이는 음 뭐랄까 집이 해먹는 맛인데 재료도 좋은 것 같고 본점은 사장님 겁나 친절하시다,1
38,"방배동 김밥 터줏대감이에요. 다시마김밥 담백하고 건강한 맛, 매콤짭짤한 고추장 소고기 김밥 그리고 해장에 그만인 김치수제비까지. 오랜만에 들러 포장해 맛나게 먹었어요",1
39,"냉우동.... 잊지못할 맛입니다. 와사비를 얼린육수인가? 깨랑 김이 엄청 뿌려져 있는데 우동과 조합이 너무 좋다고 해야할까요.... 너무 시원하게 먹으면서도 중독성있는 우동맛에 감격했습니다; 처음먹는 맛인데 시원하고 맛있어요 ㅠㅠ 김밥은 맛있어요. 감동적인정도는 아니지만. 여튼 냉우동이 최고 입니다.
+ 냉우동 잊지못해 또갔네요 근데 치즈김밥 먹었는데 평범. 이상하게 김밥들이 평범해요 ㅋㅋㅋㅋ
여튼 냉우동은 여전히 존맛탱",1
40,"한 3-4년 만에 재방문한 추억의 공간! 여전히 맛있네요. 다른 파스타들은 예측 가능한, 익숙하지만 맛있는 맛이었고 참나물 따야린이 정말 넘넘 맛있었어요!!!",1
41,생면파스타인것도 특별하지만 파스타소스도 다른곳에서 먹어본적 없는 맛이라서 독특하기도 하고 맛도 훌륭하다.그런데 파스타도 물론 맛있지만 스테이크가 진짜 최고였다.적당한 간이 너무 좋았고 익힘정도가 얼마나 예술인지 스테이크에 칼들 대는 순간 느껴진다.농어스테이크도 최고,1
42,직원들의 친절함은 어느 카페보다도 좋고 여러 종류의 커피로 선택의 폭이 넓어 기존 프랜차이저 커피집들과 확실한 차이가 있어 보였다.,1
43,주말 오후 딱히 대기없이 주문 가능했음. 드립커피를 주문하여 대기시간은 조금 있었지만 시각적인 정성이 느껴져서 맛이 한층 오른 듯. 블루보틀 이용 시 지하 주차장은 2시간 무료라 시간적 여유가 많음.,1
44,게장이 엄청 실 하고 비린맛 하나두 안나서 너무 맛있게 먹었네요 양도 가격에 비해 푸짐 하고 가성비 맛집으로 적극 추천 합니다!!,1
45,여자친구와 같이 왔는데 리뷰 남기기 전에도 서비스 많이 주시고 리뷰 남기면 더 많이 주십니다. 게장도 알이 꽉 차이있고 고기도 맛있습니다,1
46,"울 여행간김에 간장게장 맛집찾다가
방문했어요 ! 반찬도 무한리필에 간장게장이 비리지도않고 알이 꽉차서 존맛탱 
양도 많고 신선해서 맛있게 즐기다 갑니다 ",1
47,처음와보았지만 너무 맛있어서 또 올것 같습니다! 잘먹었어요 ,1
48,맛있고 강남역 접근성이 괜찮은 편이라 손님들도 넓은 매장임에도 꽤 있는편이다. 맛에 비해 직원들의 서비스와 친절이 아쉬웠던 기억.,1
49,갈비찜 맛있고 회냉면도 맛있어요~,1
50,비교적 한가한 오후 4시간에 방문. 발렛을 맡기고 입장. 뼈가 큼직해서 이게 진짜갈비구나 하고 느끼게해줌. 갈비탕국물이 같이나오고 주전자에 뜨거운 육수도 함께주심. 갈비찜먹고 숨계진 메뉴인 볶음밥까지 해먹고 또 물냉면을 시켜서 먹음!! 너무 배부르게 나와서 발렛비 현금 2천원내고 집으로!!,1
51,냉면 맛있습니다 물냉 비냉 회냉 다맛어요 점심 맛집! 저녁에는 갈비찜이랑 같이 먹으면 맛있어요,1
52,물냉면 비빔냉면 두 가지 모두 깔끔하고 맛있어서 다음에도 꼭 방문해서 다른 음식도 먹어보고 싶어요. 식전에 나오는 육수도 담백했습니다.,1
53,다른 지점들만 다니다가 본점은 처음방문했는데 본점이 역시 더 맛있네요 갈비찜도 덜 자극적? 덜 달고요. 냉면은 뭐 두말하면 잔소리.,1
54,음식이 정말 맛있는데 위생이 그렇게 좋진 않음,0
55,"돈까스, 제육, 냉모밀 시켰는데, 그나마 냉모밀만 먹을만하고 돈까스는 양이 너무 적고 제육은 말할것도 없네요. 위생도 괜찮은지 모르겠고, 계란후라이 해먹으라고 날계란 주는데 이게 맞는건지도 잘 모르겠네요",0
56,맛있게 잘 먹었습니다. 집에서 반찬에 밥 먹는 기분이 드는 식당이었습니다.,0
57,생각보다 차돌된장이랑 반찬들은 먹을만 했어요. 샐러드 소스 너무 맛이 이상한데 바꾸셔야 할듯요. 그리고 매장 위생 청결이 너무 별로에요. 환기도 안되서 냄새도 그렇지만 식탁이 여름도 아닌데 찐덕거리고 날계란을 직접 후라이 해 먹으라는 비위생적인 모습에 손도 안됐네요. 다시는 안갈듯요,0
58,음 9500원인데요..직원분이 너무 .. 불 친절하시네요,0
59,"손님 들어와도 아는척 안하고, 불러도 대답안하고 두번째 불러야 대답만하고 다시 가고 위생 엉망이고 대단하네요 다시는 안갈듯",0
60,전반적으로 맛있고 반찬도 맛있었음. 하지만 메뉴 양이 좀 적음. 공기밥 추가해서 먹음. 배달주문이 많아서 서빙하는 분을 부르기가 힘들었음,0
61,손님이 들어와서 물도 떠먹고 하는데 인기척도 없고 주문을 해도 대꾸도 없고 직원이 2명이나 있는데 하…,0
62,근처에 볼일이 있어서 아무 생각없이 들렀는데 별로였음 손님이 들어오면 주문 받으며 물도 가져다 주고 해야 되는데 직원이 손님 들어온거 뻔히 보고도 무시해서 여러번 불러 겨우 주문하고 밥 나온 것도 그닥 깔끔하지 않아서 정말 실망함 다음 일보러 가도 여기서는 식사 안 할래요,0
63,토스트에 머리커락 나와서 중간에 그만 먹었어요. 맛은 있는데 위생이 조금 아쉽네요.,0
64,진짜 기가막히게 영업시간중에 문닫혀 있고 조리지연으로 주문취소 당하고 아니 그럴거면 네이버포장을 막아두시던가 기분나빠서 진짜 다신안갈거에요,0
65,통밤빵?은 밤 껍질이 남아있고 달기만 해서 그닥...다른게 더 맛있음...비주얼 좋고 메뉴가 다양하지만 가성비가 좋지는 않음. 에그타르트나 휘낭시에를 추천합니다.,0
66,"오후에 갔더니 웨이팅 없었어요. 밀크티, 팡도르먹고 배탈났어요 ",0
67,커피랑 빵은 그럭저럭 먹을만합니다. 캐셔분이 너무 불친절해서 기분이나빳어요… 바쁜건 알겟지만 그래도 대충대충 빨리만하려하고… 외국에서 같이온 조카들만아니면 당장 나왓을겁니다. 좀 바뀟으면 합니다..,0
68,한옥 대형 카페. 손님도 많고 테이블간 거리가 넓지않아서 더 북적이는 느낌이었어요. 너무 정신없는 실내분위기에 두쫀쿠만 구매해서 다른 카페로 갑니다.,0
69,왜 미슐랭 빕구르망인지 이해가 안되는 집. 수육은 저급한 원육을 쓴 티가 나고 막국수 면발이나 육수에서도 특이점을 찾을 수가 없었음. 아주아주 배가 고픈 상태였는데도. 리스트에서 삭제합니다.,0
70,수수한 매력이 없는 막국수집 나물전은 가격에 비해서 나물은 없고 밀가루만ㅎ 막국수는 너무 조미료 맛이 많이나고ㅎㅎ 김가루라도 좋은 걸 쓰면 김가루 맛으로도 먹을 것인데ㅎ 너무 감칠맛이 치고와 별루였어요.,0
71,미쉐린2020 이라 기대하고 갔는데 완전 맛없음. 주인이며 알바며 장사할 맘도 없는 듯 했음,0
72,서비스도 최악 분위기도 최악 음식도 최악 여기가 뭐가 좋아요?,0
73,최악의 파스타집. 돈 내고 원하는 메뉴 얘기하는데 종업원들 태도가 멀쩡한 손님을 진상 손님 대하듯 하네요. 몇가지 메뉴에 대해서 질문했더니 들어가서 자기들끼리 낄낄거리구요 이럴려고 오픈키친으로 한건가 싶네요. 심지어 메뉴 중 하나는 돈내고사먹어본중 최악으로 맛이없었음,0
74,"맛도 맛이지만 직원들 태도가 너무 불쾌했어요 뭐든 물어보면 다 없다고 하고 예전에 있던 메뉴에 대해서 질문하면 원래 없던 메뉴이고 자기네 식당에서 먹은게 맞냐고 거꾸로 물어보더니 뒤에 가서는 자기들끼리 웃더라구요 정말 불쾌했어요
와인이 제일 맛있었네요…",0
75,수준 미달. 접객이나 음식맛이나 파인다이닝으로 수준 개미달. 티비빨로 얼마나 갈지 모르겠음,0
76,"그냥 한국 커피가 더 맛있는듯 해요. 뉴올리언스 먹었는데 아래분처럼 으잉? 밍밍하다?라는 느낌을 받았어요. 고소함도없고, 진한맛도 없고 저는 잘모르겠더라고요..  그냥 처음이자 마지막방문이 될듯ㅎ",0
77,생각보다 비위생적임 일단 2층에 미리 셋팅이 되어있었는데… 손님이 쓰다남은 앞치마도 안치웠을 뿐더러 반찬은 다 말라있고 그래도 맛있겠지 했는데 쏘쏘 꼭먹으라던 볶은밥은 치즈도 안올라가있고 김치말이 국수는 도대체 면만 많고 리뷰알바들이 많은거같다 ;;; 그냥 여기 유명한 삼겹살집 갈걸 먹고나서 후회함 리뷰가 엉망이다! 블루리본은 기준이 뭘까…,0
78,최악. 2층으로 안내받았는데 손님도 2~3테이블밖에 없었는데 청소도 안되서 지저분하고 엄청 불친절. 반찬 추가 셀프라고는 하나 처음에 가져다 주는게 먹다남긴거 주는줄 알았음. 양상추 샐러드를 4조각 주네요. 유명하다길래 음식은 맛있겠지 했는데 곱창은 질겨서 고무씹는거겉아 씹다가 뱉었고 고소한 맛도 없네요. 리얼 고무느낌… 곱창 수없이 많이 먹었는데 가장 별로였던 식당. 아 양도 적음,0
79,맛집이라 그래서 갔는데 맛없어요.. 니맛도 내맛도 아님,0
80,"최악 2층에 한팀있었는데, 셀프라고 하면서 주문할것도 도데체 오지도 않았고, 무엇보다 곱창이 말라비틀어져 몇개 들어있지도 않고 초심을 잃어도 한참 잃은 듯",0
81,고무호수 씹는줄 알았어요  완죤 질겨,0
82,불친절 쩔어요,0
83,으 개비싸 다시 안가,0
84,"함정에 빠지지 마세요.. 높은 평점은 5성급 리뷰에 대한 무료 혜택 덕분입니다.. 외국인에게 친화적이지 않습니다. 아무도 영어를 못 하고, 뭘 원하는지 이해하지도 못하며, 확인도 없이 음식을 던져줍니다... 내장과 곱창 모두 고무처럼 딱딱하고 건조합니다... 이 가격이면 다른 곳에서 더 좋은 품질의 음식을 쉽게 구할 수 있습니다…",0
85,"수육 반 접시(25,000원)의 실상입니다! 이 가게가 경상도 또는 전라도에 있었다면 한 달만에 폐업했을 것이 분명합니다.
비빔냉면 또한 별로이고 매웠고, 수육의 양 또한 한심한 수준입니다.",0
86,"맛 있으면 위생도 함께.. 물이 줄줄 흐르는 앞접시, 공기에 아직 고추가루도..No more..",0
87,카운터 주인할배 음식장사 하면서 인심이 야박함 만두 반판3개 6000원 이라 한판으로 (만원) 변경 가능한지 써빙하신분께 물어보는데 뒤에서 소리듣고 갑자기 반말로 “안돼 ! 이미 주문하고 나와서” 라고함 나온양이 많아서 줄이라는것도 아니고 둘이서 갈비찜 냉면 양많을거 같아 만두 반판주문 한거지만 친구가 만두 잘먹길래 찜을 남기더라도 한판변경 가능한지 물오본건데 그렇게 정색힐필요가 있나? 친구가 필요없다함. 맛을떠나 밥장사 야박한집은 안오는게 정답이니 담부터는 오지말자고함 다른식당은 유도리 있게 해주는대 뭐가 문제인지 만두추가 3개 더주면 될것을 주인할배가 2000원 더 남길라고 야박한식당임. 한국인보다 외국인이 많아 그언지 오리지널 갈비찜 아님  그래서 음식들이 다 짜다 쎄다,0
88,맛집으로 유명세를 치르고 있긴하나 유명세에 비해 맛은 없음. 각종 조미료로 맛을 냄. 좁은 길에 여기 방문하는 차들 때문에 차가 엉켜 자주 싸움이 일어남.,0
89,꽤 오래 이용했는데요. 포장해 달라고하니 살점 거의없는 것만 넣어주네요. 맛을 떠나 양심 불량인거 같습니다. 심지어는 살 없이 뼈만 있는 것도 넣고…,0
90,갈비찜이 너무달고 느끼해요…,0
91,종업원들의 서비스 개선을 촉구 합니다,0
